modelo,parametros,scaler,selector,r2,mae,rmse,dataset
XGBRegressor,"{""learning_rate"": ""0.1"", ""max_depth"": ""5"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""400"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9127365418096984,0.3998479248505239,0.5011703171378216,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.1"", ""max_depth"": ""10"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""200"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9118170061206932,0.401943585794278,0.503804101414274,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.05"", ""max_depth"": ""10"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""200"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9122577759163216,0.4009494011119699,0.50254336082624,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.1"", ""max_depth"": ""5"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""200"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9127895831526128,0.3997249927937716,0.5010179831234698,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1600"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5891033632293425,0.8880673605958173,1.0875179485353472,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.05"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5908126729306457,0.8861233485346969,1.0852535828951768,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""800"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5903362396745977,0.8867039263833298,1.0858852338828973,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""400"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5909240454762399,0.886038665040763,1.0851059913589631,crop_yield.csv
GradientBoostingRegressor,"{""learning_rate"": ""0.03"", ""max_depth"": ""3"", ""min_samples_split"": ""2"", ""modelo"": ""GradientBoostingRegressor"", ""n_estimators"": ""150"", ""random_state"": ""42"", ""scaler"": ""StandardScaler"", ""selector"": ""SelectFromModel(Lasso, thr=median)"", ""subsample"": ""1.0""}",StandardScaler,"SelectFromModel(Lasso, thr=median)",0.9112459287655412,0.4042189764702568,0.5069502018741042,crop_yield.csv
GradientBoostingRegressor,"{""learning_rate"": ""0.03"", ""max_depth"": ""3"", ""min_samples_split"": ""2"", ""modelo"": ""GradientBoostingRegressor"", ""n_estimators"": ""150"", ""random_state"": ""42"", ""scaler"": ""StandardScaler"", ""selector"": ""SelectFromModel(Lasso, thr=median)"", ""subsample"": ""0.7""}",StandardScaler,"SelectFromModel(Lasso, thr=median)",0.9116576373076576,0.4032493008658753,0.5057710684044915,crop_yield.csv
